IB2300041018,2023-03-15T16:44:50,Sở Nông nghiệp và phát triển nông thôn tỉnh Hưng Yên,PL2300028824,Tư vấn thẩm định hồ sơ mời thầu và kết quả lựa chọn nhà thầu,0,2000000,TG,CDTRG,1_MTHS,TV,2023-03-10T23:59:59,Sở Nông nghiệp và phát triển nông thôn tỉnh Hưng Yên,178/QĐ-SNN,0,Trong nước,[],"['IB2300041018', 'IB2300041018', 'es-notify-contractor', 'notify-contractor-step-4-kqlcnt', 'CNTTT', '9236e723-6bc5-4e16-a404-a72a34f46db9', 0]"
IB2300041068,2023-03-15T17:16:14,ỦY BAN NHÂN XÃ CAO XÁ,PL2300023461,"Tư vấn khảo sát, lập Báo cáo KT-KT",0,60184000,TG,CDTRG,1_MTHS,TV,2022-11-30T23:59:59,UBND xã Cao Xá,Số 137/QĐ-UBND ngày 30/11/2022,0,Trong nước,[],"['IB2300041068', 'IB2300041068', 'es-notify-contractor', 'notify-contractor-step-4-kqlcnt', 'CNTTT', '778b5ee2-2a31-4392-a820-3069bce045da', 0]"
IB2300041096,2023-03-15T18:09:21,Cục Quản lý thị trường tỉnh Lâm Đồng,PL2300031916,"Gói thầu số 5:Di dời, lắp đặt camera tại trụ sở tạm của Cục Quản lý thị trường tỉnh Lâm Đồng trong thời gian xây dựng Cục",0,13168000,TG,CDTRG,1_MTHS,PTV,2023-02-28T23:59:59,Cục Quản lý thị trường tỉnh Lâm Đồng,23/QĐ-QLTTLĐ,0,Trong nước,[],"['IB2300041096', 'IB2300041096', 'es-notify-contractor', 'notify-contractor-step-4-kqlcnt', 'CNTTT', 'c0186bd8-bdbc-46ef-b103-c574d44ec6aa', 0]"
IB2300041020,2023-03-15T16:44:45,Ban Quản lý dự án đầu tư xây dựng tỉnh Hải Dương,PL2200084619,Gói thầu số 03: Tư vấn thẩm tra Báo cáo kinh tế - kỹ thuật,0,70571000,TG,CDTRG,1_MTHS,TV,2023-03-14T23:59:59,Ban Quản lý dự án đầu tư xây dựng tỉnh Hải Dương,285/QĐ-BQLDA ngày 14/3/2023,0,Trong nước,[],"['IB2300041020', 'IB2300041020', 'es-notify-contractor', 'notify-contractor-step-4-kqlcnt', 'CNTTT', '0a0381fd-0ed7-4171-a463-bc833e7bd9bb', 0]"
IB2300041006,2023-03-15T16:40:23,Sở Nông nghiệp và phát triển nông thôn tỉnh Hưng Yên,PL2300028824,"Tư vấn lập hồ sơ mời thầu, đánh giá hồ sơ dự thầu",0,4000000,TG,CDTRG,1_MTHS,TV,2023-03-09T23:59:59,Sở Nông nghiệp và phát triển nông thôn tỉnh Hưng Yên,177/QĐ-SNN,0,Trong nước,[],"['IB2300041006', 'IB2300041006', 'es-notify-contractor', 'notify-contractor-step-4-kqlcnt', 'CNTTT', 'c5794461-e64e-496b-9d64-29732db64dd8', 0]"
IB2300041010,2023-03-15T16:39:23,Sở Tài nguyên và Môi trường tỉnh Vĩnh Phúc,PL2200064657,Gói thầu: Tư vấn Giám sát thi công xây dựng và lắp đặt thiết bị,0,17039164,TG,CDTRG,1_MTHS,TV,2023-02-02T23:59:59,Sở Tài nguyên và Môi trường tỉnh Vĩnh Phúc,50/QĐ-STNMT,0,Trong nước,[],"['IB2300041010', 'IB2300041010', 'es-notify-contractor', 'notify-contractor-step-4-kqlcnt', 'CNTTT', '666e5411-0fb1-4f4a-a456-68a2df7afcbd', 0]"
IB2300041004,2023-03-15T16:35:44,CÔNG TY NHIỆT ĐIỆN ĐÔNG TRIỀU - TKV- CHI NHÁNH TỔNG CÔNG TY ĐIỆN LỰC TKV - CTCP ,PL2300031852,Cung cấp vật tư và dịch vụ sửa chữa bê tông phòng mòn bản thể lò hơi phục vụ xử lý sự cố lò hơi số 1 của Nhà máy Nhiệt điện Mạo Khê,0,370855210,DGCD,CDTRG,1_MTHS,PTV,2023-03-09T23:59:59,CÔNG TY NHIỆT ĐIỆN ĐÔNG TRIỀU - TKV,Số 485/QĐ-NĐĐT ngày 09/3/2023,0,Trong nước,[],"['IB2300041004', 'IB2300041004', 'es-notify-contractor', 'notify-contractor-step-4-kqlcnt', 'CNTTT', '2eb8ee41-007a-4e85-8c1b-c20c06445518', 0]"
IB2300041067,2023-03-15T17:15:46,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam Chi nhánh Nam Hà Nội,PL2300026195,"Thi công cải tạo xây dựng và hệ thống điện mạng, điện nhẹ của dự án cải tạo và trang bị nội thất không gian giao dịch khách hàng tại tầng 1 - Trụ sở chi nhánh Nam Hà Nội",0,677975936,TG,CDTRG,1_MTHS,XL,2023-03-09T23:59:59,Ngân hàng TMCP Đầu Tư và Phát Triển Việt Nam - Chi nhánh Nam Hà Nội,194/QĐ-BIDV-NHN,0,Trong nước,[],"['IB2300041067', 'IB2300041067', 'es-notify-contractor', 'notify-contractor-step-4-kqlcnt', 'CNTTT', '7308df55-378a-4887-8915-859c4bdbfa61', 0]"
IB2300041003,2023-03-15T16:34:59,Trường phổ thông vùng cao Việt Bắc,PL2300025199,"Cung cấp vật tư, dịch vụ sửa chữa xe ô tô BKS 20B-2629",0,28826000,TG,CDTRG,1_MTHS,HH,2023-03-09T23:59:59,Trường phổ thông vùng cao Việt Bắc,130/QĐ-TCHC,0,Trong nước,[],"['IB2300041003', 'IB2300041003', 'es-notify-contractor', 'notify-contractor-step-4-kqlcnt', 'CNTTT', 'daa1cc69-444c-45bf-81ee-4b02d63bc7d4', 0]"
IB2300041019,2023-03-15T16:44:41,CÔNG TY NHIỆT ĐIỆN ĐÔNG TRIỀU - TKV- CHI NHÁNH TỔNG CÔNG TY ĐIỆN LỰC TKV - CTCP ,PL2300031874,"Xử lý rung trục gối trục số 2, 3 tuabin tổ máy số 1",0,363000000,TG,CDTRG,1_MTHS,PTV,2023-03-10T23:59:59,CÔNG TY NHIỆT ĐIỆN ĐÔNG TRIỀU - TKV,Số 495/QĐ-NĐĐT ngày 10/3/2023,0,Trong nước,[],"['IB2300041019', 'IB2300041019', 'es-notify-contractor', 'notify-contractor-step-4-kqlcnt', 'CNTTT', '83104f5a-1102-49a1-a570-17d5cd415f24', 0]"
IB2300041014,2023-03-15T16:42:11,ỦY BAN NHÂN DÂN HUYỆN CON CUÔNG,PL2300021445,Gói thầu số 03/Tư vấn lập HSMT đánh giá HSDT gói thầu số 01,0,18957000,TG,CDTRG,1_MTHS,TV,2023-03-13T23:59:59,Ủy ban nhân dân huyện Con Cuông,477/QĐ-UBND,0,Trong nước,[],"['IB2300041014', 'IB2300041014', 'es-notify-contractor', 'notify-contractor-step-4-kqlcnt', 'CNTTT', '777aeed8-3403-4eaf-80c7-245d7b405238', 0]"
