CÔNG TY TNHH CÔNG NGHỆ DUY KHANG,,vn3603373864,LLC2,3603373864,2016-04-27T00:00:00.000+0000,VN,"Số 838/4, ấp Quảng phát",7130829,,NGUYỄN THỊ BIỂU ,Chủ tịch Hội đồng thành viên kiêm Giám đốc,Đang hoạt động,0,"[['2592', 'Gia công cơ khí; xử lý và tráng phủ kim loại', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['4761', 'Bán lẻ sách, báo, tạp chí văn phòng phẩm trong các cửa hàng chuyên doanh', 0], ['3312', 'Sửa chữa máy móc, thiết bị', 1], ['3314', 'Sửa chữa thiết bị điện', 0], ['3320', 'Lắp đặt máy móc và thiết bị công nghiệp', 0], ['4321', 'Lắp đặt hệ thống điện', 0], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['9522', 'Sửa chữa thiết bị, đồ dùng gia đình', 0], ['4322', 'Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['3250', 'Sản xuất thiết bị, dụng cụ y tế, nha khoa, chỉnh hình và phục hồi chức năng', 0], ['4772', 'Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh', 0]]"
Hộ kinh doanh Trần Gia Quyền,,vn0900281716,LEGAL_TYPE_OTHER,0900281716,2008-03-05T00:00:00.000+0000,VN,Thôn Phượng Tường,1091323,,Trần Gia Quyền,Đại diện,Đang hoạt động,0,[]
CÔNG TY TNHH DỊCH VỤ BẢO VỆ ĐỨC PHÚ,DUC PHU SECURITY SERVICE COMPANY LIMITED,vn0314649973,LLC1,0314649973,2017-09-29T00:00:00.000+0000,VN,"63C Đường 35, Khu Phố 7",7014547,,TRẦN THỊ THIÊN NGA ,Giám đốc,Đang hoạt động,0,"[['8010', 'Hoạt động bảo vệ cá nhân', 1]]"
CÔNG TY CỔ PHẦN XÂY DỰNG MCG,MCG CONSTRUCTION JOINT STOCK COMPANY,vn0105778090,SC,0105778090,2012-01-19T00:00:00.000+0000,VN,Ngõ 102 đường Trường Chinh,1010933,,NGUYỄN NGỌC HƯNG ,Giám đốc,Đang hoạt động,0,"[['4220', 'Xây dựng công trình công ích', 0], ['7410', 'Hoạt động thiết kế chuyên dụng', 0], ['7120', 'Kiểm tra và phân tích kỹ thuật', 0], ['4311', 'Phá dỡ', 0], ['4330', 'Hoàn thiện công trình xây dựng', 0], ['7730', 'Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác', 0], ['8230', 'Tổ chức giới thiệu và xúc tiến thương mại', 0], ['5210', 'Kho bãi và lưu giữ hàng hóa', 0], ['4210', 'Xây dựng công trình đường sắt và đường bộ', 0], ['6820', 'Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất', 0], ['0810', 'Khai thác đá, cát, sỏi, đất sét', 0], ['4933', 'Vận tải hàng hóa bằng đường bộ', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['7020', 'Hoạt động tư vấn quản lý', 0], ['4312', 'Chuẩn bị mặt bằng', 0], ['0899', 'Khai khoáng khác chưa được phân vào đâu', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['7710', 'Cho thuê xe có động cơ', 0], ['4290', 'Xây dựng công trình kỹ thuật dân dụng khác', 0], ['4100', 'Xây dựng nhà các loại', 0], ['6810', 'Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê', 1], ['4329', 'Lắp đặt hệ thống xây dựng khác', 0], ['7310', 'Quảng cáo', 0], ['6619', 'Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0]]"
CÔNG TY TNHH XÂY DỰNG TPV 68,,vn1602124212,LLC1,1602124212,2020-05-25T00:00:00.000+0000,VN,"Số 531/8 hẻm Quốc lộ 91, Khóm Bình Đức 3",8050113,,TRÀ NGỌC TÀI ,Giám đốc,Đang hoạt động,0,"[['4390', 'Hoạt động xây dựng chuyên dụng khác', 0], ['4312', 'Chuẩn bị mặt bằng', 0], ['4321', 'Lắp đặt hệ thống điện', 0], ['4322', 'Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí', 0], ['4212', 'Xây dựng công trình đường bộ', 0], ['4330', 'Hoàn thiện công trình xây dựng', 0], ['4311', 'Phá dỡ', 0], ['4222', 'Xây dựng công trình cấp, thoát nước', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['4102', 'Xây dựng nhà không để ở', 0], ['4329', 'Lắp đặt hệ thống xây dựng khác', 0], ['4101', 'Xây dựng nhà để ở', 0], ['4291', 'Xây dựng công trình thủy', 0], ['4223', 'Xây dựng công trình viễn thông, thông tin liên lạc', 0], ['4299', 'Xây dựng công trình kỹ thuật dân dụng khác', 1]]"
CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ DU LỊCH QUỐC TẾ HÀ NỘI MỚI,NEW HANOI INTERNATIONAL TRAVEL AND MEDIA JOINT STOCK COMPANY,vn0110238326,SC,0110238326,2023-01-30T00:00:00.000+0000,VN,"Số 6 đường Ba Lương Cầu Gồ, Thôn Quyết Tiến",1013737,,VŨ VĂN KẾT ,Chủ tịch Hội đồng quản trị kiêm Giám đốc,Đang hoạt động,0,"[['4931', 'Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)', 0], ['9312', 'Hoạt động của các câu lạc bộ thể thao', 0], ['5630', 'Dịch vụ phục vụ đồ uống', 0], ['6820', 'Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất', 0], ['4932', 'Vận tải hành khách đường bộ khác', 0], ['8532', 'Đào tạo trung cấp', 0], ['9000', 'Hoạt động sáng tác, nghệ thuật và giải trí', 0], ['4933', 'Vận tải hàng hóa bằng đường bộ', 0], ['9311', 'Hoạt động của các cơ sở thể thao', 0], ['7721', 'Cho thuê thiết bị thể thao, vui chơi giải trí', 0], ['5224', 'Bốc xếp hàng hóa', 0], ['5629', 'Dịch vụ ăn uống khác', 0], ['7730', 'Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển', 0], ['7990', 'Dịch vụ đặt chỗ và các dịch vụ hỗ trợ liên quan đến quảng bá và tổ chức tua du lịch', 0], ['4722', 'Bán lẻ thực phẩm trong các cửa hàng chuyên doanh', 0], ['5590', 'Cơ sở lưu trú khác', 0], ['8129', 'Vệ sinh công nghiệp và các công trình chuyên biệt', 0], ['4610', 'Đại lý, môi giới, đấu giá hàng hóa', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['8511', 'Giáo dục nhà trẻ', 0], ['8531', 'Đào tạo sơ cấp', 0], ['7710', 'Cho thuê xe có động cơ', 0], ['4723', 'Bán lẻ đồ uống trong các cửa hàng chuyên doanh', 0], ['6810', 'Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê', 0], ['7310', 'Quảng cáo', 0], ['9610', 'Dịch vụ tắm hơi, massage và các dịch vụ tăng cường sức khoẻ tương tự (trừ hoạt động thể thao)', 0], ['5510', 'Dịch vụ lưu trú ngắn ngày', 0], ['8219', 'Photo, chuẩn bị tài liệu và các hoạt động hỗ trợ văn phòng đặc biệt khác', 0], ['8552', 'Giáo dục văn hoá nghệ thuật', 0], ['5610', 'Nhà hàng và các dịch vụ ăn uống phục vụ lưu động', 0], ['8533', 'Đào tạo cao đẳng', 0], ['4799', 'Bán lẻ hình thức khác chưa được phân vào đâu', 0], ['6622', 'Hoạt động của đại lý và môi giới bảo hiểm', 0], ['7912', 'Điều hành tua du lịch', 1], ['8121', 'Vệ sinh chung nhà cửa', 0], ['1410', 'May trang phục (trừ trang phục từ da lông thú)', 0], ['8512', 'Giáo dục mẫu giáo', 0], ['5621', 'Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên với khách hàng', 0], ['7911', 'Đại lý du lịch', 0], ['4690', 'Bán buôn tổng hợp', 0], ['7010', 'Hoạt động của trụ sở văn phòng', 0], ['4633', 'Bán buôn đồ uống', 0], ['5229', 'Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải', 0], ['8130', 'Dịch vụ chăm sóc và duy trì cảnh quan', 0], ['8559', 'Giáo dục khác chưa được phân vào đâu', 0]]"
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ HOÀNG VÂN,,vn4300669279,LLC1,4300669279,2012-06-26T00:00:00.000+0000,VN,"N1.10 Lô 05 Mỹ Gia Shophouse - Đường Lê Thánh Tôn, Khu đô thị An Phú Sinh, tổ 1",5050101,,LƯƠNG VĂN VÂN ,Giám đốc,Đang hoạt động,0,"[['4329', 'Lắp đặt hệ thống xây dựng khác', 0], ['4390', 'Hoạt động xây dựng chuyên dụng khác', 0], ['4530', 'Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác', 0], ['4541', 'Bán mô tô, xe máy', 0], ['4542', 'Bảo dưỡng và sửa chữa mô tô, xe máy', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['4773', 'Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh', 0], ['7710', 'Cho thuê xe có động cơ', 0], ['4322', 'Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí', 0], ['7730', 'Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển', 0], ['4759', 'Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu  trong các cửa hàng chuyên doanh', 0], ['2592', 'Gia công cơ khí; xử lý và tráng phủ kim loại', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['4669', 'Bán buôn chuyên doanh khác chưa được phân vào đâu', 0], ['3314', 'Sửa chữa thiết bị điện', 0], ['4321', 'Lắp đặt hệ thống điện', 1]]"
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI RÈM Á ÂU,,vn4600865700,LLC2,4600865700,2010-06-23T00:00:00.000+0000,VN,"Số nhà 57, Tổ dân phố Đông",2150153,,LƯƠNG THỊ HƯỜNG ,Giám đốc,Đang hoạt động,0,"[['1322', 'Sản xuất hàng may sẵn (trừ trang phục)', 1], ['1323', 'Sản xuất thảm, chăn đệm', 0], ['1410', 'May trang phục (trừ trang phục từ da lông thú)', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['4753', 'Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyên doanh', 0], ['4771', 'Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh', 0], ['4330', 'Hoàn thiện công trình xây dựng', 0], ['4641', 'Bán buôn vải, hàng may sẵn, giày dép', 0], ['4649', 'Bán buôn đồ dùng khác cho gia đình', 0], ['8532', 'Giáo dục nghề nghiệp', 0], ['9620', 'Giặt là, làm sạch các sản phẩm dệt và lông thú', 0], ['7410', 'Hoạt động thiết kế chuyên dụng', 0], ['7710', 'Cho thuê xe có động cơ', 0]]"
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ HASA-TECHNOLOGY ,HASA-TECHNOLOGY SERVICES TRADING INVESTMENT COMPANY LIMITED ,vn0313187099,LLC1,0313187099,2015-03-30T00:00:00.000+0000,VN,"74 Đường 197, Khu phố 5",7014533,,NGUYỄN VIỆT TRUNG ,Giám đốc,Đang hoạt động,0,"[['3320', 'Lắp đặt máy móc và thiết bị công nghiệp', 0], ['4321', 'Lắp đặt hệ thống điện', 0], ['4610', 'Đại lý, môi giới, đấu giá', 0], ['4653', 'Bán buôn máy móc, thiết bị và phụ tùng máy nông nghiệp', 1], ['3319', 'Sửa chữa thiết bị khác', 0], ['4663', 'Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng', 0], ['4652', 'Bán buôn thiết bị và linh kiện điện tử, viễn thông', 0], ['3312', 'Sửa chữa máy móc, thiết bị', 0], ['3313', 'Sửa chữa thiết bị điện tử và quang học', 0], ['4329', 'Lắp đặt hệ thống xây dựng khác', 0], ['3315', 'Sửa chữa và bảo dưỡng phương tiện vận tải (trừ ô tô, mô tô, xe máy và xe có động cơ khác)', 0], ['4659', 'Bán buôn máy móc, thiết bị và phụ tùng máy khác', 0], ['3314', 'Sửa chữa thiết bị điện', 0]]"
CÔNG TY TNHH TƯ VẤN ĐẦU TƯ T.C,T.C ADVISEMENT INVESTMENT LIMITED COMPANY,vn0317599960,LLC1,0317599960,2022-12-08T00:00:00.000+0000,VN,52/29 Thoại Ngọc Hầu,7012817,,BÙI THÁI NHÃ ĐĂNG ,Tổng giám đốc,Đang hoạt động,0,"[['4512', 'Bán lẻ ô tô con (loại 9 chỗ ngồi trở xuống)', 0], ['4530', 'Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác', 0], ['4632', 'Bán buôn thực phẩm', 0], ['4633', 'Bán buôn đồ uống', 0], ['8230', 'Tổ chức giới thiệu và xúc tiến thương mại', 0], ['8531', 'Đào tạo sơ cấp', 0], ['8532', 'Đào tạo trung cấp', 0], ['8559', 'Giáo dục khác chưa được phân vào đâu', 0], ['8560', 'Dịch vụ hỗ trợ giáo dục', 0], ['9000', 'Hoạt động sáng tác, nghệ thuật và giải trí', 0], ['9101', 'Hoạt động thư viện và lưu trữ', 0], ['9329', 'Hoạt động vui chơi giải trí khác chưa được phân vào đâu', 0], ['6201', 'Lập trình máy vi tính', 0], ['6202', 'Tư vấn máy vi tính và quản trị hệ thống máy vi tính', 0], ['6311', 'Xử lý dữ liệu, cho thuê và các hoạt động liên quan', 0], ['6312', 'Cổng thông tin', 0], ['6619', 'Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu', 1], ['6810', 'Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê', 0], ['6820', 'Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất', 0], ['7010', 'Hoạt động của trụ sở văn phòng', 0], ['7020', 'Hoạt động tư vấn quản lý', 0], ['7110', 'Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan', 0], ['7310', 'Quảng cáo', 0], ['7320', 'Nghiên cứu thị trường và thăm dò dư luận', 0], ['7410', 'Hoạt động thiết kế chuyên dụng', 0], ['7490', 'Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu', 0], ['7710', 'Cho thuê xe có động cơ', 0], ['4711', 'Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào chiếm tỷ trọng lớn trong các cửa hàng kinh doanh tổng hợp', 0], ['4722', 'Bán lẻ thực phẩm trong các cửa hàng chuyên doanh', 0], ['4723', 'Bán lẻ đồ uống trong các cửa hàng chuyên doanh', 0], ['1075', 'Sản xuất món ăn, thức ăn chế biến sẵn', 0], ['1079', 'Sản xuất thực phẩm khác chưa được phân vào đâu', 0], ['1104', 'Sản xuất đồ uống không cồn, nước khoáng', 0], ['1820', 'Sao chép bản ghi các loại', 0], ['4781', 'Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào lưu động hoặc tại chợ', 0], ['4931', 'Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)', 0], ['4933', 'Vận tải hàng hóa bằng đường bộ', 0], ['5229', 'Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải', 0], ['5610', 'Nhà hàng và các dịch vụ ăn uống phục vụ lưu động', 0], ['5621', 'Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên với khách hàng', 0], ['5629', 'Dịch vụ ăn uống khác', 0], ['5630', 'Dịch vụ phục vụ đồ uống', 0], ['5911', 'Hoạt động sản xuất phim điện ảnh, phim video và chương trình truyền hình', 0], ['5912', 'Hoạt động hậu kỳ', 0], ['5913', 'Hoạt động phát hành phim điện ảnh, phim video và chương trình truyền hình', 0], ['6190', 'Hoạt động viễn thông khác', 0], ['7911', 'Đại lý du lịch', 0], ['7912', 'Điều hành tua du lịch', 0], ['8211', 'Dịch vụ hành chính văn phòng tổng hợp', 0], ['8219', 'Photo, chuẩn bị tài liệu và các hoạt động hỗ trợ văn phòng đặc biệt khác', 0], ['4753', 'Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyên doanh', 0], ['4761', 'Bán lẻ sách, báo, tạp chí văn phòng phẩm trong các cửa hàng chuyên doanh', 0]]"
