PR2300011725,01,"Khu dân cư mới thôn Nhân Lý, xã Thanh Long","Đầu tư xây dựng dự án nhằm đáp ứng nhu cầu đất ở của nhân dân địa phương và vùng lân cận, từng bước xây dựng nông thôn mới theo định hướng của Đảng và tạo vốn tái đầu tư xây dựng các công trình hạ tầng",Ban quản lý dự án đầu tư xây dựng huyện Yên Mỹ - Ủy ban nhân dân huyện Yên Mỹ,"[""Chủ tịch Ủy ban nhân dân huyện Yên Mỹ""]",51,NB,0,Không,Huyện Yên MỹTỉnh Hưng Yên,74500000000,1198/QĐ-UBND,2023-03-03T23:59:59,Ủy Ban nhân dân huyện Yên Mỹ,http://localhost:1234/api/download/file/browser/public?fileId=ea7333d2-af55-43c1-9a94-e5ad0a26fa96,"[['PL2300038503', 'kế hoạch lựa chọn nhà thầu bước lập thiết kế BVTC dự án Khu dân cư mới thôn Nhân Lý, xã Thanh Long', 74500000000]]"
PR2300011726,01,"Sửa chữa, nạo vét một số tuyến kênh chính trên địa bàn xã Hữu Hòa, huyện Thanh Trì","Cải tạo, sửa chữa, nạo vét tuyến kênh tưới tiêu kết hợp bị hư hỏng và bồi lắp để đảm bảo yêu cầu cấp nước sản xuất cho khu vực, từ đó thúc đẩy sản xuất phát triển kinh tế, giảm thiểu ô nhiễm môi trường nâng cao chất lượng sống của người dân trong khu vực, tiêu úng cho khoảng 600ha diện tích sản xuất và dân sinh của xã Hữu Hòa",Ủy ban nhân dân xã Hữu Hòa,"[""Ủy ban nhân dân huyện Thanh Trì""]",21,NC,TVQLDA,Không,Huyện Thanh TrìThành phố Hà Nội,4767000000,số 4631/QĐ-UBND,2022-09-19T23:59:59,Ủy ban nhân dân huyện Thanh Trì,http://localhost:1234/api/download/file/browser/public?fileId=25a69663-22af-4b74-9db1-51c6f30cd4fc,"[['PL2300038516', 'Sửa chữa, nạo vét một số tuyến kênh chính trên địa bàn xã Hữu Hòa, huyện Thanh Trì', 4767000000]]"
PR2300011723,01,"Sửa chữa các hạng mục phụ trợ trường mầm non Nam Sơn ( khu A), thành phố Tam Điệp","Đảm bảo cơ sở vật chất, đáp ứng nhu cầu học tập và giảng dạy của Trường mầm non Nam Sơn",UBND PHƯỜNG NAM SƠN,"[""Tôn·""]",603,NC,TVQLDA,Không,Thành phố Tam ĐiệpTỉnh Ninh Bình,880779000,39/QĐ-UBND,2023-03-16T23:59:59,UBND phường Nam Sơn,http://localhost:1234/api/download/file/browser/public?fileId=9ae6ae96-254a-4269-84d4-a0a6cc8850bb,"[['PL2300038486', 'kế hoạch lựa chọn nhà thầu công trình Sửa chữa các hạng mục phụ trợ trường mầm non Nam Sơn ( khu A), thành phố Tam Điệp', 880779000]]"
PR2300011724,01,"Hạ tầng kỹ thuật khu dân cư thôn Hải Bắc, xã Nhơn Hải","- Giải quyết nhu cầu cấp thiết về đất ở, từng bước hoàn thiện hạ tầng bảo đảm xã Nhơn Hải đạt các tiêu chuẩn của phường nội thành trong thời gian tới;
- Chỉnh trang đô thị, kết nối và hoàn thiện hệ thống hạ tầng kỹ thuật khu vực và phát triển khu dân cư với khu dân cư hiện trạng. Tạo quỹ đất ở để đấu giá quyền sử dụng đất tạo nguồn thu cho ngân sách nhà nước và quỹ đất ở để bố trí tái định cư cho các dự án;
- Làm cơ sở pháp lý trong công tác quản lý xây dựng và quản lý đất đai.",Ban QLDA Đầu tư xây dựng và Phát triển quỹ đất thành phố Quy Nhơn,"[""Chủ tịch UBND thành phố Quy Nhơn""]",41,NC,BQLDA,Không,Thành phố Quy NhơnTỉnh Bình Định,79029780000,Quyết định số 1333/QĐ-UBND,2023-03-23T23:59:59,UBND thành phố Quy Nhơn,http://localhost:1234/api/download/file/browser/public?fileId=2f139bc3-c18b-463c-a04d-acc69d8ac517,"[['PL2300038490', 'Hạ tầng kỹ thuật khu dân cư thôn Hải Bắc, xã Nhơn Hải', 79029780000]]"
PR2300011715,01,"Bổ sung tuyến điện chiếu sáng từ đường 332 (giáp Công an thị xã) đến khu xóm Lò Vôi , khu Đoàn Xá 2, phường Hồng Phong, thị xã Đông Triều","Để đảm bảo an toàn giao thông vào ban đêm, đồng thời đảm bảo an ninh, mỹ quan, đảm bảo các tiêu chí phát triển đô thị, tiến tới thành lập thành phố Đông Triều trong năm 2023",Ban quản lý dự án đầu tư xây dựng thị xã Đông Triều,"[""Chủ tịch UBND thị xã Đông Triều""]",21,NC,TTQLDA,Không,Thị xã Đông TriềuTỉnh Quảng Ninh,419921000,2003/QĐ-UBND ngày 07/11/2022,2022-11-07T23:59:59,UBND thị xã Đông Triều,http://localhost:1234/api/download/file/browser/public?fileId=7011aa8b-2fbe-4d0f-8981-60e9c67de595,"[['PL2300038461', 'Bổ sung tuyến điện chiếu sáng từ đường 332 (giáp Công an thị xã) đến khu xóm Lò Vôi , khu Đoàn Xá 2, phường Hồng Phong, thị xã Đông Triều', 419921000]]"
PR2300011713,01,Đầu tư hạ tầng khu dân cư đất công ty cao su chư păh bàn giao về địa phương quản lý,0,Ban Quản lý dự án đầu tư xây dựng huyện Ia Grai,"[""Chủ tịch UBND huyện""]",11,NC,BQLDA,Không,Huyện Ia GraiTỉnh Gia Lai,8200000000,833/QĐ-UBND,2022-12-27T23:59:59,Chủ tịch UBND huyện Ia Grai,http://localhost:1234/api/download/file/browser/public?fileId=d4cabb34-885a-4f79-8dd1-4851dd9b5a51,"[['PL2300038462', 'KHLCNT dự án: Đầu tư hạ tầng khu dân cư đất công ty cao su chư păh bàn giao về địa phương quản lý', 8200000000], ['PL2200087484', 'KHLCNT - Giai đoạn lập BCKTKT dự án Đầu tư hạ tầng khu dân cư đất công ty cao su Chư Păh bàn giao về địa phương quản lý', 8200000000]]"
PR2300011716,01,"Bổ sung tuyến điện chiếu sáng từ Điểm trường mầm non thôn An Biên, xã Thủy An, thị xã Đông Triều đến ngã tư đường rẽ đi xã Bạch Đằng, thị xã Kinh Môn","Để đảm bảo an toàn giao thông vào ban đêm, đồng thời đảm bảo an ninh, mỹ quan, đảm bảo các tiêu chí phát triển đô thị, tiến tới thành lập thành phố Đông Triều trong năm 2023",Ban quản lý dự án đầu tư xây dựng thị xã Đông Triều,"[""Chủ tịch UBND thị xã Đông Triều""]",21,NC,TTQLDA,Không,Thị xã Đông TriềuTỉnh Quảng Ninh,829347000,2004/QĐ-UBND ngày 07/11/2022,2022-11-07T23:59:59,UBND thị xã Đông Triều,http://localhost:1234/api/download/file/browser/public?fileId=13121da3-58bc-4f8c-82aa-af5434d9af74,"[['PL2300038463', 'Bổ sung tuyến điện chiếu sáng từ Điểm trường mầm non thôn An Biên, xã Thủy An, thị xã Đông Triều đến ngã tư đường rẽ đi xã Bạch Đằng, thị xã Kinh Môn', 829347000]]"
PR2300011714,01,Đầu tư hạ tầng khu dân cư đất ban quản lý rừng phòng hộ ia grai bàn giao về huyện quản lý bàn giao về địa phương quản lý,0,Ban Quản lý dự án đầu tư xây dựng huyện Ia Grai,"[""Chủ tịch UBND huyện""]",11,NC,BQLDA,Không,Huyện Ia GraiTỉnh Gia Lai,4200000000,834/QĐ-UBND,2022-12-27T23:59:59,Chủ tịch UBND huyện Ia Grai,http://localhost:1234/api/download/file/browser/public?fileId=e7635614-2bbd-4055-9cd6-51c52f210799,"[['PL2300038464', 'kế hoạch lựa chọn nhà thầu dự án Đầu tư hạ tầng khu dân cư đất Ban quản lý rừng phòng hộ Ia Grai bàn giao về huyện quản lý', 4200000000], ['PL2200087371', 'KHLCNT - Giai đoạn lập báo cáo KTKT dự án Đầu tư hạ tầng khu dân cư đất Ban quản lý rừng phòng hộ Ia Grai bàn giao về huyện quản lý', 4200000000]]"
PR2300011725,01,"Khu dân cư mới thôn Nhân Lý, xã Thanh Long","Đầu tư xây dựng dự án nhằm đáp ứng nhu cầu đất ở của nhân dân địa phương và vùng lân cận, từng bước xây dựng nông thôn mới theo định hướng của Đảng và tạo vốn tái đầu tư xây dựng các công trình hạ tầng",Ban quản lý dự án đầu tư xây dựng huyện Yên Mỹ - Ủy ban nhân dân huyện Yên Mỹ,"[""Chủ tịch Ủy ban nhân dân huyện Yên Mỹ""]",51,NB,0,Không,Huyện Yên MỹTỉnh Hưng Yên,74500000000,1198/QĐ-UBND,2023-03-03T23:59:59,Ủy Ban nhân dân huyện Yên Mỹ,http://localhost:1234/api/download/file/browser/public?fileId=ea7333d2-af55-43c1-9a94-e5ad0a26fa96,"[['PL2300038503', 'kế hoạch lựa chọn nhà thầu bước lập thiết kế BVTC dự án Khu dân cư mới thôn Nhân Lý, xã Thanh Long', 74500000000]]"
PR2300011724,01,"Hạ tầng kỹ thuật khu dân cư thôn Hải Bắc, xã Nhơn Hải","- Giải quyết nhu cầu cấp thiết về đất ở, từng bước hoàn thiện hạ tầng bảo đảm xã Nhơn Hải đạt các tiêu chuẩn của phường nội thành trong thời gian tới;
- Chỉnh trang đô thị, kết nối và hoàn thiện hệ thống hạ tầng kỹ thuật khu vực và phát triển khu dân cư với khu dân cư hiện trạng. Tạo quỹ đất ở để đấu giá quyền sử dụng đất tạo nguồn thu cho ngân sách nhà nước và quỹ đất ở để bố trí tái định cư cho các dự án;
- Làm cơ sở pháp lý trong công tác quản lý xây dựng và quản lý đất đai.",Ban QLDA Đầu tư xây dựng và Phát triển quỹ đất thành phố Quy Nhơn,"[""Chủ tịch UBND thành phố Quy Nhơn""]",41,NC,BQLDA,Không,Thành phố Quy NhơnTỉnh Bình Định,79029780000,Quyết định số 1333/QĐ-UBND,2023-03-23T23:59:59,UBND thành phố Quy Nhơn,http://localhost:1234/api/download/file/browser/public?fileId=2f139bc3-c18b-463c-a04d-acc69d8ac517,"[['PL2300038490', 'Hạ tầng kỹ thuật khu dân cư thôn Hải Bắc, xã Nhơn Hải', 79029780000]]"
